Parent Path;Parent Node;Name;Addition;Label;Path;Type;Level;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;erscheinungsform;;Dossier: Erscheinungsform;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;federfuehrendeOrganisationseinheit;;Dossier: Federführende Organisationseinheit;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;entstehungszeitraum;von/datum;Dossier: Entstehungszeitraum von/datum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;entstehungszeitraum;bis/datum;Dossier: Entstehungszeitraum bis/datum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;datenschutz;;Dossier: Datenschutz;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;oeffentlichkeitsstatus;;Dossier: Öffentlichkeitsstatus;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;oeffentlichkeitsstatusBegruendung;;Dossier: Öffentlichkeitsstatus Begründung;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;sonstigeBestimmungen;;Dossier: Sonstige Bestimmungen;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;bemerkung;;Dossier: Bemerkung;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;zusatzDaten;;Dossier: Zusatz Daten;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;aktenzeichen;;Dossier: Aktenzeichen;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;eroeffnungsdatum;;Dossier: Eröffnungsdatum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;abschlussdatum;;Dossier: Abschlussdatum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;vorgang;;Dossier: Vorgang;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;schutzfristenkategorie;;Dossier: Schutzfristenkategorie;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;schutzfrist;;Dossier: Schutzfrist;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;schutzfristenBegruendung;;Dossier: Schutzfristen Begründung;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;dossier;;Dossier: Dossier;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;parent_only;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;dokument;;Dossier: Dokument;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;parent_only;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;archivischeNotiz;;Dossier: Archivische Notiz;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;parent_only;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;titel;;Dokument: Titel;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;autor;;Dokument: Autor;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;erscheinungsform;;Dokument: Erscheinungsform;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;dokumenttyp;;Dokument: Dokumenttyp;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;registrierdatum;;Dokument: Registrierdatum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;entstehungszeitraum;;Dokument: Entstehungszeitraum;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;klassifizierungskategorie;;Dokument: Klassifizierungskategorie;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;datenschutz;;Dokument: Datenschutz;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;oeffentlichkeitsstatus;;Dokument: Öffentlichkeitsstatus;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;oeffentlichkeitsstatusBegruendung;;Dokument: Öffentlichkeitsstatus Begründung;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;sonstigeBestimmungen;;Dokument: Sonstige Bestimmungen;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;dokument;bemerkung;;Dokument: Bemerkung;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier/dokument;reference;per_aip;;
